features,emotion
"[5.193991929985437, 6.190314050873827, 3.3635586335330547, 9.184774551370921, 2.987965237000596, 2.5716227744245357, 7.316221747000135, 6.583325387925871, 6.24823963410431, 6.25669101852856, 4.975506454306171, 3.2054912570283367, 5.151609116387453, 0.5322838288487888, 0.6975119733417751, 0.5852942618497861, 0.5174502803207488, 0.5678614158347006, 0.6412931454275624, 0.5436275447196025, 0.5177779604433568, 0.6243687211491912, 0.6244966571108722, 0.549305682462887, 0.5528961694381677, 2046.4099874715273, 27.59578292513379, 1977.7608676870334, 96.1166834060673, 1557.3105696576306, 92.43630262392018, 0.1737678108474776]",happy
"[6.7153192464040385, 4.680122940073145, 4.961967584194622, 2.9949412707243823, 4.96297372801522, 4.422682722159723, 5.645437120676179, 3.345538112895354, 6.038693028482345, 8.065477826005155, 4.782479703086285, 5.8034234441978825, 6.380287983422225, 0.5598779528114164, 0.6224092481810417, 0.6012592400781794, 0.6097676098548831, 0.5226990216144534, 0.6024510174258942, 0.6497998291245449, 0.7451143607795041, 0.6959270826085207, 0.8153182457511556, 0.523265243711195, 0.6872320636720678, 2036.6684011476705, 209.49014666088362, 2157.5105143934547, 87.0208618364418, 1480.1214709111955, -4.955828972392283, 0.07371224891596195]",happy
"[3.481734676892604, 5.300787572952415, 5.683511951554319, 8.752341678431772, 6.9008476763721, 3.8461926886751936, 3.203170657303284, 5.983838343013011, 2.3595335859587157, 8.662917531708707, 7.358880241442574, 4.06164869579059, 1.573730941818245, 0.7353872374165413, 0.5885460154747382, 0.7237816311973462, 0.44055723412056325, 0.5400624977046227, 0.6005243699718182, 0.6046980593764741, 0.5549934528520756, 0.6622849932347499, 0.49323795706174056, 0.5857620514978706, 0.6120295631711898, 2102.8877668117498, 135.5807439044445, 2062.607372448639, 34.941437194828325, 1855.5353643797018, 93.29256047918366, 0.06257567317217233]",happy
"[8.102303951045046, 5.231349268585717, 7.358594368127653, 5.135036962820218, 9.121495849763974, 8.510681684886409, 4.502071703041853, 6.943141901908711, 6.290751899170295, 7.737263115064698, 3.070153078839791, 6.372102919996879, 7.116848973699176, 0.42412605135768855, 0.48167414873342246, 0.3960767822239899, 0.5730593165555442, 0.6717542255795962, 0.7502357052096028, 0.6074094780419775, 0.7628615545571291, 0.4619898541785108, 0.42966175606448453, 0.5944452301103381, 0.6384065448939307, 1993.4610503811814, -3.3721050019938303, 2373.2639881461637, 52.164787462136005, 1733.9345097660077, 94.66392984387393, 0.05300601068363224]",happy
"[3.972266165326613, 2.881572956222097, 4.874641805453656, 6.910284641002477, 3.0285479073289125, 6.008093031035688, 3.9394847632551184, 3.4142543354753117, 4.785939280090885, 2.929515355161252, 3.892701389305636, 2.604244214822303, 8.929450265832779, 0.6035263551971728, 0.5300274492007414, 0.6213979910734222, 0.588767195030917, 0.5779030400466777, 0.6614166700043425, 0.6757507710047305, 0.5469498852389473, 0.542418175935532, 0.5724948302848356, 0.36980788352644145, 0.4484808937801448, 2273.374853488905, 182.24838567506418, 2325.2891881330866, 193.2417722291825, 1662.2500309087072, 203.15523233820952, 0.15597874557172886]",happy
"[4.744164817038467, 3.0889191187991485, 1.787107359484855, 5.406927271734446, 3.487298509431393, 2.1554925808046517, 3.7068542315149466, 2.83690399277121, 8.37428327014513, 6.763279513898901, 4.9840547173667655, 7.959888277780052, 5.154736615295237, 0.5138715798671736, 0.7523124077269657, 0.6538910043684658, 0.4962753845673543, 0.5809661321916392, 0.5124381746615243, 0.4617200269035664, 0.6926177547531641, 0.790941664047013, 0.4601432426180858, 0.656296923669057, 0.5349357430878173, 1902.5749232470607, 70.38030378805654, 2140.8027690960553, 153.63912209586204, 1433.8099767177923, 90.81827303119356, 0.09748809452754316]",happy
"[4.522103906267181, 3.1848726759168042, 3.8464573388633347, 6.510782451651512, 6.0018343752487615, 3.044889510402898, 5.198664610858452, 6.502774246743578, 1.6611894377572565, 6.08672038475987, 3.674752482108307, 6.141197337186319, 3.4734816869149663, 0.4195117899335481, 0.4372457562116837, 0.6048084946661382, 0.6259722501721482, 0.5095683374895591, 0.6638592458777374, 0.433847993773104, 0.5933920201352684, 0.4788983800237543, 0.534816389219784, 0.6047398671316414, 0.5139586634716047, 1923.0888911540349, 150.31464046072202, 2226.9324391430555, 212.67690840488564, 1374.0586290684764, 101.19216711661132, 0.17207843103289502]",happy
"[0.056710999745421375, 3.406209489059046, 6.15414425436108, 4.593909227914015, 5.742291746742618, 3.792029626568359, 5.1731795749458, 4.688645529215841, 7.335564123319615, 5.508841686602426, 5.675205324150404, 4.1762460677550655, 4.024787551855013, 0.5567441812180379, 0.6394452142378296, 0.5579015519179736, 0.6289774856896413, 0.8075400798645439, 0.6871124703431692, 0.5673976467832159, 0.7201213922163945, 0.5591924626978448, 0.39618754648221455, 0.49919136890825955, 0.41292080789741437, 1929.6973031917382, 100.92091895947759, 2902.9311936825848, 174.5195530323122, 1556.1798942382272, 113.17622324733956, -0.01055676545039426]",happy
"[5.471229116217132, 6.541730387773933, 2.042827508440317, 7.287508086413858, 5.676992814988829, 4.169424172198397, 6.26556373221257, 9.541385715608792, 5.36373251011699, 5.496441172600672, 4.081278200919511, 3.3003112610704166, 6.660671633088491, 0.5143916174091132, 0.6071566237219392, 0.5522342553234884, 0.6478979825746392, 0.6333662105286948, 0.7037539944257899, 0.5489983601145253, 0.5730125064706628, 0.5021236284217693, 0.5555706739923888, 0.6377300493044852, 0.6756988616645352, 1815.566935164475, 143.480296005283, 2806.6913576414854, 181.00761774177755, 1975.3591625116132, 49.048432035857076, 0.03776726483442915]",happy
"[1.4425595021914428, 7.9920886229783665, 6.308731312708115, 4.8888306581790895, 5.5599372526396404, 2.749021905403247, 9.891503959233653, 5.258442363950455, 5.218789589209786, 6.451533247797384, 5.962018463473426, 5.447768048558263, 3.4190510891093764, 0.6471468357135995, 0.7882024496475033, 0.7345420046154978, 0.7593186626639397, 0.5488784323568815, 0.5010395179741419, 0.5874213079900351, 0.6055724912288695, 0.7094191518470948, 0.43075353702851804, 0.7529550319460614, 0.5841992101421011, 1914.623786010516, 49.394781236991626, 1903.5429984402692, 211.73779379714358, 1614.6635934376807, 28.401564010357845, 0.0352460613968192]",happy
"[4.328430601419743, 8.338043050578786, 4.48081729727279, 1.9937140937637876, 4.508513871828112, 4.454552860504659, -0.3937732858831433, 4.8914102669643755, 4.538130939582644, 6.3924127296268365, 8.69791218989069, 7.253130059095515, 4.462222618890339, 0.48934740912583297, 0.857335980324986, 0.6059218434014488, 0.6013929291912946, 0.5975874912889997, 0.6198084760767855, 0.5855639588076057, 0.5426337993119763, 0.5453141058759607, 0.5967246729784002, 0.5456575228866235, 0.5287154217322836, 2021.2860455383793, 87.25113912895723, 2851.1978965748067, -48.822735629475886, 1818.3013703844924, 129.84340769990516, -0.0036695116204074757]",happy
"[4.314624811839303, 4.257118268008417, 2.1849766105643575, 3.444366624818249, 2.7788483090683425, 8.504540886847245, 6.871356786294922, 7.543110189988317, 6.44334412808647, 2.7418964575655416, 3.9509594674404527, 5.978749122455836, 2.5557443822161092, 0.6712998430172388, 0.5759674601841864, 0.5625179192450402, 0.6710959968203491, 0.6444263311486039, 0.563903383418092, 0.7159329803364248, 0.49189366724001027, 0.6615935606944263, 0.6593101257968383, 0.569045356068601, 0.6326133022242117, 1749.7772847229394, 146.20135096034505, 2344.529359067103, 110.79577346107203, 1809.801845167378, 51.82625237828963, 0.029576935181822014]",happy
"[1.8867416529521925, 6.21201990269128, 2.439141295007434, 8.50958836396873, 0.8361411842325559, 8.392912736580076, 5.422034934405237, 4.806573776259215, 3.9101618263821005, 5.798272228704142, 4.9247305951503035, 7.2066037640330425, 5.228455297324079, 0.6150301761461877, 0.5636387787786143, 0.5943054376278932, 0.6307801768892058, 0.4289831607343374, 0.46518145778942865, 0.6743264094022715, 0.6170865438127942, 0.5816016663647321, 0.6018433933065392, 0.6347581705361671, 0.5460240319690638, 1844.3390549195374, 109.79226275488408, 2106.4881667154905, 180.6189566785854, 1259.4832791524318, 121.16622549302575, 0.12362987412065216]",happy
"[5.5120594686277515, 6.965381967891028, 8.330948888925153, 7.028740130036261, 1.3182515373367094, 2.440846066528597, 3.7503628446086426, 5.052182100421668, 6.035318040938246, 3.548512373693069, 5.373533528954157, 3.489234135293355, 3.7769643940161037, 0.45933389031517774, 0.5076766753889095, 0.46483153943836664, 0.5024126747022667, 0.7053641796607839, 0.5050601111168057, 0.8632382064837391, 0.649331790088089, 0.6184836123694873, 0.5141642219818786, 0.6700309879408991, 0.5424362173762226, 2024.4019629290724, 228.00422691343974, 2371.1820300826053, 236.1954994714257, 1459.3647149748226, 78.60046038012153, 0.1885400317817755]",happy
"[3.746065884424465, 8.624897115993857, 6.415503870910951, 3.8750664482114647, 6.264815478111042, 6.9451088992534595, 6.243619924434393, 1.8595505602190872, 3.545725648350263, 4.504962728896991, 4.851133141799908, 6.241344195101356, 5.355402001866508, 0.4664655641289899, 0.6380197851005963, 0.6610585745283823, 0.655979044793104, 0.7080780725554622, 0.6833922154548904, 0.6459180079228437, 0.5929834288541352, 0.43390390664840084, 0.6429618219132586, 0.620768768716311, 0.6271578837195373, 1744.6502848359382, 45.94717297958688, 2715.945855999871, 147.03336346075088, 1736.300139474525, 81.13273504521845, 0.10148780697478726]",happy
"[6.876567611951995, 3.967910543565252, 5.192241553881967, 4.075449422589915, 4.131007545135369, 4.381655753062721, 5.444267543267426, 4.042502756673045, 7.511512251147042, 3.2107853955609924, 4.626256711677282, 4.12053788345165, 7.893955768707466, 0.6196554776511575, 0.7031844539468635, 0.45144396269630277, 0.6267050265869258, 0.6889630795623437, 0.6082283989275424, 0.7065480375065352, 0.5482711549899628, 0.740934744018558, 0.829889812361925, 0.5637161439560341, 0.5554497478599227, 2290.6768954235404, 178.97860728653563, 2243.1419918540196, 118.4859887178107, 1543.6430782278985, 26.221979558628917, 0.05406740267579009]",happy
"[2.9917184664958643, 3.464404869791743, 4.930630225226437, 5.468429465073042, 8.101000985628154, 3.003291918522418, 6.968644796953168, 4.572022311548982, 4.901072580695134, 6.3496389843332075, 2.7545559568754028, 5.764819492368101, 5.332904416426112, 0.6492451264008149, 0.6289168643907818, 0.8455300139910894, 0.5362260015748683, 0.5469003044998182, 0.5376859473575235, 0.5444522880839745, 0.5362612872693482, 0.7189016531107552, 0.7420504247989854, 0.5429253706250523, 0.5167644426895771, 2094.283111277281, 72.38884778595144, 2589.8795453266534, 165.21922656384749, 1296.8511770005537, 141.90020805320245, 0.1897938836547761]",happy
"[3.7744226190312276, 4.224596880128032, 5.57173078144981, 5.66891357997405, 6.317088545345661, 9.0204090775327, 4.646105545011901, 3.4034055109230925, 2.2413615439709456, 3.538139920116162, 4.933746054252405, 8.589115727035576, 3.964777401927657, 0.6223787951638898, 0.5983577103927248, 0.7188393273448084, 0.8526932425873621, 0.5469131227079679, 0.5510560557481777, 0.7044160877069072, 0.6681891489626312, 0.7846707325736033, 0.6583928185325963, 0.564070790921294, 0.6590654830692309, 2221.7407161165816, 141.0241090598682, 2552.1822093321894, 230.00060171918653, 1833.8591180891344, 135.2863596415011, 0.13243549437948215]",happy
"[4.665763839366291, 5.293427372866645, 7.413017933016714, 3.366128658025528, 5.737346617745803, 4.213322375345278, 5.057489645869635, 7.556903725214598, 5.382198136039807, 5.092873096312298, 2.2802877180401615, 6.492507132054442, 6.29096836228215, 0.816325472330546, 0.5692221765046999, 0.6219150327663939, 0.6249383683710755, 0.7577453279763474, 0.5904704467613048, 0.6279021525770339, 0.6607896509716539, 0.6186609123156358, 0.5553566385449471, 0.6194089992898307, 0.7073631749859772, 1794.696940117788, 106.6484837073438, 2189.963755518248, 239.6284971693632, 1295.362619043245, 57.64312610913647, 0.11886059375322605]",happy
"[8.13104805846868, 4.868499477854025, 3.8896009466136032, 8.76231413888118, 2.103972199167512, 0.6023880867598361, 5.880028900106665, 3.9958915512947777, 2.9575343657385735, 6.416712894598707, 5.487601427542398, 3.871842738526543, 2.439391202658211, 0.6872457328280145, 0.6650201177958661, 0.5900824136220617, 0.7846636996047666, 0.4929915233673847, 0.4474474829075261, 0.5308091930118756, 0.5954413983644502, 0.6243339449322691, 0.575876394214367, 0.6352055396514297, 0.47484605758095555, 2288.752920814652, 95.89244108037155, 2735.1887494764383, 175.7044009783278, 1691.3506438307568, 102.79069120928816, 0.12238542800086576]",happy
"[6.285445519735088, 7.658305060264863, 5.39304233940294, 6.418007515177025, 4.820528611425546, 7.880234430898946, 3.6472153958814606, 8.60188086582163, 4.919684098711313, 2.1384497957639037, 5.2562088298215786, 3.6378966850502383, 6.681287097977448, 0.5347376020697608, 0.555381656678522, 0.41104592690544683, 0.5547693680750923, 0.35761206733710427, 0.44160971765142765, 0.6760414656144297, 0.6785800158650832, 0.6425457561784964, 0.5033023856870786, 0.595228864385802, 0.5996397460909432, 1768.3270621614915, 175.16991508835753, 2663.2086871727015, 133.4276869627752, 1605.3771677989062, 88.3353123179021, -0.0020867434212145375]",happy
"[4.5056452349588065, 3.6360315040044027, 2.996759980210169, 4.43779941422809, 8.595373053699046, 6.28168572253402, 3.8576420204344064, 6.145165562712317, 7.798710873172004, 6.849267365825538, 5.119260739840349, 3.706126444588852, 6.39644662722718, 0.6393485385421749, 0.6895193220027732, 0.6635171801681969, 0.7049552715319335, 0.5464764788439431, 0.7317394065634326, 0.61975996046924, 0.8075260872625265, 0.5310812181910431, 0.7735963803165249, 0.6197910783462648, 0.5348581996385552, 1903.2228331891356, 83.982634590284, 2527.249783920575, 189.21266160266248, 1485.2599992122841, 79.02581630956068, 0.20711351793059318]",happy
"[8.455086340201422, 5.872647339348064, 5.076006956336401, 5.240062653436523, 6.227035945460833, 2.954414869603189, 4.48524692515331, 1.662831852244821, 5.798446245210559, 6.294391879405482, 4.033627075401252, 8.147973526580065, 2.5484686739953175, 0.453562511979018, 0.6224451818559972, 0.7047098302612155, 0.7683927691457868, 0.5541115737131059, 0.7078680833431296, 0.5961491530499292, 0.582737270005918, 0.6883659937486672, 0.6652322878413419, 0.442360784301575, 0.7476540349725895, 2276.01827082949, 68.72186492452353, 2518.741060031223, 187.0522639712054, 1652.1347531647814, 57.987793846183195, 0.06641883160309742]",happy
"[4.9488918580171095, 7.345458038518729, 6.087200309188865, 4.258771335827788, 6.54339742129669, -0.6970852412601509, 7.297531400744207, 1.5205724424438007, 4.275118117193736, 2.7606602107477123, 2.4106370485581885, 7.321653574757039, 4.064597597376217, 0.6346503881730715, 0.5953079421120816, 0.6477040827223122, 0.6076821891060256, 0.47170077758114304, 0.699626681944714, 0.5506243416838688, 0.44434181013402485, 0.5571884839034087, 0.750075979063431, 0.6850221742113493, 0.565134786559214, 1930.1484591363142, 83.91824743913087, 3023.0243950682525, 178.6451589173665, 1686.0083294382139, 121.21133816127369, 0.11193945795132568]",happy
"[4.481915708358594, 4.607300301830043, 4.856797481171872, 4.925555526980316, 6.4552590872739595, 5.103891771614599, 6.465280154431158, 4.838566839782835, 5.157270380632181, 1.0035986309357847, 6.832655349404963, 5.692976951795986, 6.996020219719305, 0.31037446218063103, 0.8088374704780728, 0.5860410371844826, 0.7108182816737516, 0.4960094072874469, 0.661277390506257, 0.49465844368263434, 0.5376231039304195, 0.7914031353866786, 0.5809317599236653, 0.6217432873179722, 0.6870067730688754, 2099.136377594521, 107.52094525717882, 2509.4883007398676, 330.2561688928706, 1588.476240593283, 88.0439618685987, 0.1525327198003806]",happy
"[7.211051865915968, 7.37406061112076, 6.277460444058369, 2.713990174539033, 8.266863064602191, 2.707309213962624, 5.605270930478066, 3.4914482999612844, 4.871723306814015, 5.657524820606961, 5.642714430900546, 5.84384150847057, 8.227422538117294, 0.645353430151398, 0.5755843364709351, 0.6964087168288358, 0.7189470488924641, 0.47723921848630074, 0.6597400069849858, 0.6701172742310898, 0.5702436496640008, 0.737570681331162, 0.5849944412967473, 0.6125576453471542, 0.5826928175716131, 2003.1158095162934, 45.18624565523991, 1967.9847352217116, 269.58787974187294, 1430.6077303363345, 40.34430602174771, -0.007669505680185734]",happy
"[3.7220765046209956, 2.3538204131850033, 8.284030320272738, 7.019634178685268, 3.6236993096445524, 9.504871610688618, 6.963530973983189, 4.350337232982755, 0.0011885702528537934, 9.581885145181484, 2.220855066472808, 1.7092025060862164, 7.045140864019281, 0.8439752406339273, 0.7384272818510518, 0.6563909120052359, 0.6594754341665285, 0.6853415558780307, 0.6758928589786765, 0.6281191423969376, 0.6104201103951876, 0.5937406872100477, 0.5246035411133323, 0.5719324923133225, 0.43070431858046143, 1980.33207464105, 50.57044464245413, 2068.9232048352687, 163.4920613365109, 1878.4004572689198, 116.73266424009252, 0.021474969818841144]",happy
"[3.020743726859325, 6.881542375976432, 3.035025212923381, 4.550733700005951, 6.100104198049104, 3.0633110902727294, 5.21075101229192, 2.331949010163591, 3.7972647120975727, 5.639563868285074, 1.8140125329366614, 5.880949475920798, 4.960724402146638, 0.6552489954417148, 0.6223914134064661, 0.7364140429973844, 0.6125224502647907, 0.5570594458874747, 0.6122297503032283, 0.6543298029036387, 0.6048860070325704, 0.6040591691203883, 0.5298008312193244, 0.5337099082449052, 0.4597394728200306, 2349.915348637388, 37.806838230435744, 2192.1284406612276, 96.1194550823102, 1778.9848753888882, 68.20201286831889, 0.1623871036336867]",happy
"[3.653018751512263, 5.557988324447604, 3.3293058934804853, 9.290298255546777, 2.6248031619409744, 5.619641420454055, 6.267553761864197, 5.827598194902997, 4.629424682244584, 4.740358600533147, 5.087622943958219, 4.705995996743023, 6.927758233589819, 0.8210523001591351, 0.5442508214992167, 0.4630197020420922, 0.5911717951648745, 0.8579709337654318, 0.5196325432030269, 0.7639116805444067, 0.767770081407644, 0.5446411758292005, 0.6568983079185275, 0.7628396623128538, 0.5620872259012513, 1959.2839279795276, 70.91595430256781, 2095.57298079214, 101.30418412004947, 1355.2119466475488, 81.36333873036904, 0.06150133844706791]",happy
"[5.467571823581496, 1.8882087075927454, 5.661760464428914, 6.6670579232178495, 1.0125287148570892, 5.748113139695144, 7.455337984946585, 2.580717962617589, 8.345144773675408, 5.838038018732091, 3.5899762884831823, 4.8884618446845876, 6.116653825043445, 0.6076005391412411, 0.6538755992446369, 0.5079326406920633, 0.6169360824036078, 0.45862855030950195, 0.5888773938651299, 0.509609235853521, 0.5264470057410233, 0.7236093175210437, 0.7091310120594269, 0.6609138120907176, 0.4907687235327421, 1936.7183100610396, 160.65488499895918, 2442.515074091971, 323.94971549862703, 1678.6635678788743, 87.68196465960126, 0.08454417678987494]",happy
"[5.267081809564565, 4.695060327238912, 6.416217353377181, 6.913404633589169, 3.4280210789841012, 2.337534092884444, 1.3275892537934069, 6.015982653825088, 2.793266787652253, 0.6942188140950343, 5.7771572090619285, 9.985999034865582, 4.987858176920214, 0.6838490774451642, 0.6081829358547565, 0.5901110346808857, 0.6919076482987768, 0.5709725455811349, 0.6267392314071902, 0.6321697806196014, 0.5331909546356951, 0.6992042349536522, 0.5825040243304591, 0.5244254840507155, 0.6536509843570404, 1820.3064036417925, 101.40905786845642, 2397.264301006739, 231.44216743736837, 1694.9396465759905, 78.99892165019425, 0.14088831496001436]",happy
"[7.780415098034627, 6.115620612703724, 5.0207052396867615, 2.376327535299681, 2.869772673849255, 4.389550591290664, 3.7809755956814337, 4.626057394029108, 5.113299849794214, 6.059385508713461, 4.859002443881818, 5.9730032876524035, 5.12894882962024, 0.4024533433646128, 0.5060664606181245, 0.5855912444278384, 0.4790305257158892, 0.6599928729996204, 0.7530750832343698, 0.7218761851697316, 0.5786557129069791, 0.7490726136849952, 0.6148667457202112, 0.566291402888196, 0.538659733645906, 1939.5060627023743, 80.59115907293857, 2451.1248667126465, 162.04304857873984, 1600.6092040306828, 97.477526789854, 0.1595323137393171]",happy
"[6.899108270882648, 2.030204063100193, -0.10784226980390965, 6.868639822478547, 2.266242603169158, 4.550469196214633, 2.659773947881281, 1.3960391248399606, 6.082925456409576, 6.518310320605294, 3.846979198546561, -0.18208458428981977, 3.9075111034950343, 0.6391804005402546, 0.4521088431225871, 0.6183359919779156, 0.5984690150827005, 0.6579291499601088, 0.6119580368414153, 0.5026931059118445, 0.7196571501664492, 0.584147042697303, 0.5972695460490068, 0.5066732040926804, 0.555671774880849, 1823.03945719462, 91.35269700382885, 2913.5125440427028, 47.10741428014828, 1277.2877204246518, 138.84681309974434, 0.0895338161424067]",happy
"[3.6618545226801666, 7.079809374792153, 3.788768920526272, 8.652019427093872, 6.355851742678539, 4.024177183708595, 9.314616426531007, 3.788570153993323, 6.484190744018614, 5.598585160812984, 7.603482578797596, 8.123022393453706, 5.064008298131533, 0.5246582129653816, 0.6459972142939117, 0.5322284630247893, 0.8013387247526623, 0.6136535331082738, 0.5634678448687891, 0.6184680305864908, 0.46528737104703033, 0.5028385961489348, 0.7200413907944425, 0.5343105721028604, 0.49530890173180603, 2107.3305505054573, 159.28520773314983, 2615.68599319952, 224.70357643543622, 1448.6409822861078, 23.12757333032625, 0.17506668259777436]",happy
"[4.354640322315729, 4.498333967089906, 7.656388283698115, 6.11246001880132, 5.911775544163215, 9.330004689802168, 3.712963539239714, 6.855680256162474, 5.114026249794169, 5.537184557726514, 8.056936852825064, 6.015671512579248, 6.076592158099266, 0.7072507337309802, 0.5635047270457114, 0.5160790332660994, 0.4955190805978966, 0.4033643410623998, 0.8056207129940323, 0.4896791634278317, 0.5778746376414228, 0.5723186700111079, 0.63074066978091, 0.6815737212539297, 0.6860473488359745, 1883.3845122862124, 91.64391431067942, 2484.77398514649, 131.34816553623398, 1921.4691152039986, 99.63899806553005, 0.13674388930249087]",happy
